Name,TradingName,Address1,Address2,Address3,Address4,Address5,PostCode,Latitude,Longitude,HasCows,HasSheep,HasGoats,HasBuffalo,DateOfVisit,ComplianceRating
"G & A Adderson, Lodge Farm",G & A Adderson,Lodge Farm,NORTH CRAWLEY,,NEWPORT PAGNELL,MILTON KEYNES,MK16 9HP,52.089962,-0.635944,YES,,,,12/09/17,GOOD
"Mr I D Barker & Mrs V A Barker, North Hill Farm",Mr I D Barker & Mrs V A Barker,North Hill Farm,AYLESBURY ROAD,WINSLOW,BUCKINGHAM,BUCKINGHAMSHIRE,MK18 3LF,51.926622,-0.86184,YES,,,,30/08/17,GOOD
"F S Sturrock & Sons, Home Farm",F S Sturrock & Sons,Home Farm,ELWICK,,WEST HARTLEPOOL,CLEVELAND,TS27 3EF,54.6842,-1.293908,YES,,,,14/06/17,GOOD
"Street Farm Dairy, Street Farm",Street Farm Dairy,Street Farm,KELSALL ROAD,TARVIN,CHESTER,CHESHIRE,CH3 8NR,53.207746,-2.740791,YES,,,,05/05/17,GOOD
"L V & D F Dakin & Partners, Manor Farm",L V & D F Dakin & Partners,Manor Farm,PECKFORTON,,TARPORLEY,CHESHIRE,CW6 9TH,53.105041,-2.68112,YES,,,,19/04/17,GOOD
"D & S A Boden, Addashaw Farm",D & S A Boden,Addashaw Farm,JACK LANE,BOSTOCK,MIDDLEWICH,CHESHIRE,CW10 9JQ,53.21366,-2.502662,YES,,,,15/03/17,GOOD
"Mr R C Hollinshead, Hoolgrave Manor",Mr R C Hollinshead,Hoolgrave Manor,MINSHULL VERNON,,CREWE,CHESHIRE,CW1 4RQ,53.126752,-2.491395,YES,,,,28/09/17,GENERALLY SATISFACTORY
"T M Woodcock And Partners, Home Farm",T M Woodcock And Partners,Home Farm,MARBURY ROAD,COMBERBACH,NORTHWICH,CHESHIRE,CW9 6AU,53.287414,-2.530412,YES,,,,23/06/17,GOOD
"R J, B C & N W J Monies, Tremedda","R J, B C & N W J Monies",Tremedda,ZENNOR,,ST IVES,CORNWALL,TR26 3BS,50.197056,-5.559151,YES,,,,13/10/17,GOOD
"Messrs Hughes, Seaville Farm",Messrs Hughes,Seaville Farm,SEAVILLE,SILLOTH,WIGTON,CUMBRIA,CA7 4PT,54.867707,-3.311655,YES,,,,08/09/17,GENERALLY SATISFACTORY
"E & D E Horn, Slack House Farm",E & D E Horn,Slack House Farm,GILSLAND,,BRAMPTON,CUMBRIA,CA8 7DB,54.996582,-2.607103,YES,,,,10/05/17,GENERALLY SATISFACTORY
"J D Hetherington & Sons, Blue Dial Farm",J D Hetherington & Sons,Blue Dial Farm,ALLONBY,,MARYPORT,CUMBRIA,CA15 6PB,54.760578,-3.433594,YES,,,,02/06/17,GOOD
"M/S J J & M A Park & Son, Low Sizergh Farm",M/S J J & M A Park & Son,Low Sizergh Farm,HELSINGTON,,KENDAL,CUMBRIA,LA8 8AE,54.281596,-2.765361,YES,,,,19/07/17,GOOD
"A & A M Burrow, Whinyeats Farm",A & A M Burrow,Whinyeats Farm,HUTTON ROOF,,CARNFORTH,LANCASHIRE,LA6 2PJ,54.207901,-2.687368,YES,,,,14/09/17,GOOD
"A E & E Garnett Ltd, Manor Farm",A E & E Garnett Ltd,Manor Farm,,,BROUGHTON IN FURNESS,CUMBRIA,LA20 6AB,54.286019,-3.21123,YES,,,,23/08/17,GOOD
"D & C Gibson, Beltonville Farm",D & C Gibson,Beltonville Farm,MILLERS DALE,,BUXTON,DERBYSHIRE,SK17 8SS,53.257173,-1.77562,YES,,,,04/10/17,GOOD
"G D & M Rodgers & Sons, Manor Farm",G D & M Rodgers & Sons,Manor Farm,MANOR ROAD,BRIMINGTON,CHESTERFIELD,DERBYSHIRE,S43 1NP,53.24728,-1.389846,YES,,,,20/09/17,GENERALLY SATISFACTORY
"D K & M J & N Parris, Aller Farm",D K & M J & N Parris,Aller Farm,STOCKLAND,,HONITON,DEVON,EX14 9EQ,50.831788,-3.07005,YES,,,,24/05/17,GOOD
"Janvil Dairy Goats, Moonstones Farm",Janvil Dairy Goats,Moonstones Farm,UPOTTERY,,HONITON,DEVON,EX14 9RA,50.883158,-3.136224,,,YES,,06/06/17,GOOD
"J H & J L Gibson, West Middlewick Farm",J H & J L Gibson,West Middlewick Farm,NOMANSLAND,,TIVERTON,DEVON,EX16 8NP,50.911164,-3.676038,YES,,,,07/06/17,GOOD
"T M Garry, Modbury Farm",T M Garry,Modbury Farm,BURTON BRADSTOCK,,BRIDPORT,DORSET,DT6 4NE,50.722109,-2.714996,YES,,,,01/11/17,GOOD
"Meggy Moos Limited, Park Farm",Meggy Moos Limited,Park Farm,SHROTON,,BLANDFORD FORUM,DORSET,DT11 8TP,50.922838,-2.206702,YES,,,,01/11/17,GOOD
"Diana M Morgan And Thomas J Dunning, Middle Farm",Diana M Morgan And Thomas J Dunning,Middle Farm,MANSTON,,STURMINSTER NEWTON,DORSET,DT10 1EX,50.937252,-2.262982,YES,,,,31/10/17,GOOD
"Boydells Dairy Farm, Boydells Dairy Farm",Boydells Dairy Farm,Boydells Dairy Farm,WETHERSFIELD,,BRAINTREE,ESSEX,CM7 4AQ,51.941043,0.503933,,YES,,,04/08/17,GOOD
"Mr A W & Mrs J King, Wharf Farm Dairy",Mr A W & Mrs J King,Wharf Farm Dairy,CAMBRIDGE,,GLOUCESTER,GLOUCESTERSHIRE,GL2 7AL,51.732226,-2.364242,,,YES,,15/08/17,GOOD
"Blackburn & Haynes, Meadow Cottage",Blackburn & Haynes,Meadow Cottage,CHURT ROAD,HEADLEY,LOWER HEARN,HAMPSHIRE,GU35 8SS,51.131688,-0.805453,YES,,,,01/08/17,GOOD
"A H Brown (Hayling Island) Ltd, Northney Farm",A H Brown (Hayling Island) Ltd,Northney Farm,HAYLING ISLAND,ST PETER'S ROAD,HAVANT,HAMPSHIRE,PO11 0RX,50.828343,-0.961938,YES,,,,01/08/17,GOOD
"Mr Mark Stevens, Peak House Farm",Mr Mark Stevens,Peak House Farm,COLE HENLEY,,WHITCHURCH,HAMPSHIRE,RG28 7QJ,51.26184,-1.320567,YES,,,,24/10/17,GOOD
"A B Holliday, Westridge Farm",A B Holliday,Westridge Farm,HOPE ROAD,RYDE,,ISLE OF WIGHT,PO33 1AG,50.720432,-1.143923,YES,,,,06/06/17,GOOD
"Beaconhill Farm, Beacon Hill Farm",Beaconhill Farm,Beacon Hill Farm,NASHEND LANE,BOSBURY,LEDBURY,HEREFORDSHIRE,HR8 1JY,52.106089,-2.432806,YES,,,,01/08/17,GOOD
"Carpenters Hill Farm, Carpenters Hill Farm",Carpenters Hill Farm,Carpenters Hill Farm,CARPENTERS HILL LANE,BEOLEY,REDDITCH,WORCESTERSHIRE,B98 9BS,52.332361,-1.890024,YES,,,,21/06/17,GOOD
"B & J Hilsdon, Rumblers Farm",B & J Hilsdon,Rumblers Farm,POTTON END HILL,WATER END,HEMEL HEMPSTEAD,HERTFORDSHIRE,HP1 3BN,51.774457,-0.506722,YES,,,,19/09/17,GOOD
"Jennifer M Daw & Barry A Daw, Amwell Place Farm",Jennifer M Daw & Barry A Daw,Amwell Place Farm,HERTFORD HEATH,,HERTFORD,HERTFORDSHIRE,SG13 7RZ,51.789607,-0.040542,YES,,,,11/05/17,GOOD
"Little Acres Goat Products, Little Acres",Little Acres Goat Products,Little Acres,TESTON ROAD,WATERINGBURY,MAIDSTONE,KENT,ME18 5BG,51.267303,0.427916,,,YES,,08/09/17,GENERALLY SATISFACTORY
"W F Farms, Ottinge Court Farm",W F Farms,Ottinge Court Farm,ELHAM,,CANTERBURY,KENT,CT4 6HX,51.138831,1.096556,YES,,,,07/02/17,GOOD
"A L Betts Ltd, Platt House Farm",A L Betts Ltd,Platt House Farm,FAIRSEAT LANE,WROTHAM,SEVENOAKS,KENT,TN15 7QB,51.321205,0.325209,YES,,,,25/10/17,GENERALLY SATISFACTORY
"Stephen Furnival, Honeychild Farm",Stephen Furnival,Honeychild Farm,ST MARY IN THE MARSH,,ROMNEY MARSH,KENT,TN29 0DB,51.007496,0.931842,YES,,,,07/02/17,GOOD
"Edgar And Son, Park Farm",Edgar And Son,Park Farm,BRASTED,,SEVENOAKS,KENT,TN16 1LL,51.276593,0.093567,YES,,,,27/09/17,GOOD
